Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
4/20/2015,73.91561127,47.06874084,78.34116364,19.00122643,71.75880432,54.3018074,48.11579514,40.82269287,42.04496765
4/21/2015,73.9933548,47.15478897,77.5121994,18.90712166,72.23563385,54.23447418,47.75959778,40.8033371,41.66923523
4/22/2015,74.06138611,47.18347168,78.02672577,19.04043579,72.35240936,54.46534348,47.85586548,41.21949768,41.75377655
4/23/2015,74.43066406,47.02093506,78.56030273,19.07180405,72.62488556,54.40762329,47.98101807,41.38402557,41.98860931
4/24/2015,75.44134521,47.03049469,78.11248016,19.04043579,72.39134216,54.17675781,48.38535309,41.74211884,42.4113121
4/25/2015,75.44134521,47.03049469,78.11248016,19.04043579,72.39134216,54.17675781,48.38535309,41.74211884,42.4113121
4/26/2015,75.44134521,47.03049469,78.11248016,19.04043579,72.39134216,54.17675781,48.38535309,41.74211884,42.4113121
4/27/2015,74.78051758,46.7723465,78.02672577,18.96985817,71.07761383,54.15752029,48.80894089,41.85826111,41.90406799
4/28/2015,74.51813507,46.82015228,78.41738129,19.07964706,71.42794037,54.2537117,48.87633133,41.99375534,42.20465851
4/29/2015,74.01278687,46.39947128,79.02719116,19.07180405,70.77593231,53.98436737,48.84744644,41.79051208,42.02618027
4/30/2015,73.18675232,46.24649429,78.77945709,18.92280579,69.78334045,53.51301575,48.53938293,41.20981979,41.53772354
5/1/2015,74.19743347,46.66717529,78.96048737,19.08749008,70.72727966,54.18637848,49.3384285,41.71308517,41.77256012
5/2/2015,74.19743347,46.66717529,78.96048737,19.08749008,70.72727966,54.18637848,49.3384285,41.71308517,41.77256012
5/3/2015,74.19743347,46.66717529,78.96048737,19.08749008,70.72727966,54.18637848,49.3384285,41.71308517,41.77256012
5/4/2015,74.35292053,46.73410416,78.76039886,19.27569771,71.17491913,54.27295303,49.20365143,41.75180054,42.08254242
5/5/2015,73.5754776,46.36122513,77.78852081,19.1031723,70.2796402,53.54187393,48.64528275,41.10335922,41.14319992
